VARIABLES="Matrix Größe" "Cholesky Opertionen" "Ableitung Kovarianzmatrix" "Quadratische Form" "Auflösen" "Gesamt"
ZONE T="Vorwärts" 
500	0.178	0.0639	0.00366	0.00635	0.25191	
1000	0.867	0.232	0.0099	0.0242	1.1331	
2000	5.89	1.108	0.0467	0.78	7.8247	
3000	16.98	2.248	0.107	1.1718	20.5068	
4000	28.179	3.558	0.1668	1.967	33.8708	
5000	56.4	7.347	0.321	5.356	69.424	
6000	69.525	8.041	0.376	4.679	82.621	
7000	114.593	15.912	0.5428	12.5078	143.5556
8000	127.361	16.499	0.644	8.45	152.954	
9000	196.3	22.63	0.834	18.35	238.114	

ZONE T="Rückwärts"
500	0.099	0.057	0.00352	0.00177	0.16129
1000	0.964	0.322	0.01255	0.0075	1.30605
2000	2.38	1.039	0.047	0.033	3.499
3000	9.94	2.41	0.108	0.115	12.573
4000	19.39	3.97	0.171	0.205	23.736
5000	33.368	5.97	0.27	0.326	39.934
6000	51.13	8.457	0.358	0.4266	60.3716
7000	58.01	12.016	0.511	0.567	71.104
8000	77.55	16.67	0.644	0.755	95.619
9000	141.11	21.35	0.79	0.952	164.202
