ZONE T= "Semivariogramm a=1. b=1"
VARIABLES =  "Aussagenweite" "Semivarianz"
0	0
0.1	0.0295544665
0.2	0.1130795633
0.3	0.2366205057
0.4	0.3812166082
0.5	0.5276334473
0.6	0.6604044744
0.7	0.7700745148
0.8	0.8533930379
0.9	0.9119631674
1	0.9502129316
1.1	0.9734838156
1.2	0.9867001165
1.3	0.9937175799
1.4	0.9972052147
1.5	0.9988291204
1.6	0.9995380251
1.7	0.9998283409
1.8	0.99993993
1.9	0.9999802034
2	0.9999938558
2.1	0.9999982041
2.2	0.9999995056
2.3	0.9999998718
2.4	0.9999999687
2.5	0.9999999928
2.6	0.9999999984
2.7	0.9999999997
2.8	0.9999999999
2.9	1
3	1
ZONE T= "Semivariogramm a=2. b=1"
0		0.75
0.1		0.7573886166
0.2		0.7782698908
0.3		0.8091551264
0.4		0.845304152
0.5		0.8819083618
0.6		0.9151011186
0.7		0.9425186287
0.8		0.9633482595
0.9		0.9779907919
1		0.9875532329
1.1		0.9933709539
1.2		0.9966750291
1.3		0.998429395
1.4		0.9993013037
1.5		0.9997072801
1.6		0.9998845063
1.7		0.9999570852
1.8		0.9999849825
1.9		0.9999950508
2		0.9999984639
2.1		0.999999551
2.2		0.9999998764
2.3		0.999999968
2.4		0.9999999922
2.5		0.9999999982
2.6		0.9999999996
2.7		0.9999999999
2.8		1
2.9		1
3		1
ZONE T= "Semivariogramm a=1. b=2"
0			0
0.1			0.0591089329
0.2			0.2261591266
0.3			0.4732410113
0.4			0.7624332164
0.5			1.0552668945
0.6			1.3208089487
0.7			1.5401490296
0.8			1.7067860757
0.9			1.8239263348
1			1.9004258633
1.1			1.9469676312
1.2			1.9734002329
1.3			1.9874351597
1.4			1.9944104294
1.5			1.9976582408
1.6			1.9990760502
1.7			1.9996566818
1.8			1.99987986
1.9			1.9999604068
2			1.9999877116
2.1			1.9999964082
2.2			1.9999990113
2.3			1.9999997437
2.4			1.9999999374
2.5			1.9999999856
2.6			1.9999999969
2.7			1.9999999994
2.8			1.9999999999
2.9			2
3			2
